id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_lbs_dashboard_items,lbs.dashboard_items,model_lbs_dashboard_items,,1,1,1,1
access_ks_to_do_headers,ks_to.do.headers,model_ks_to_do_headers,,1,1,1,1
access_ks_to_do_description,ks_to.do.description,model_ks_to_do_description,,1,1,1,1
access_ks_dashboard_ninja_board_defined_filters,ks_dashboard_ninja.board_defined_filters,model_ks_dashboard_ninja_board_defined_filters,,1,1,1,1
access_ks_dashboard_ninja_board_custom_filters,ks_dashboard_ninja.board_custom_filters,model_ks_dashboard_ninja_board_custom_filters,,1,1,1,1


access_ks_dashboard_ninja_board_template,ks_dashboard_ninja.board_template,model_ks_dashboard_ninja_board_template,,1,1,1,1
access_ks_ninja_dashboard_item_action,ks_ninja_dashboard.item_action,model_ks_ninja_dashboard_item_action,,1,1,1,0
access_ks_dashboard_ninja_import,ks_dashboard_ninja.import,model_ks_dashboard_ninja_import,base.group_system,1,1,1,0
access_ir_actions_act_window_view,ir.actions.act_window.view,base.model_ir_actions_act_window_view,,1,0,0,0
access_ir_actions_act_window,ir.actions.act_window,base.model_ir_actions_act_window,,1,0,0,0
access_ir_actions_client,ir.actions.client,base.model_ir_actions_client,,1,0,0,0
access_ir_ui_menu,ir.ui.menu,base.model_ir_ui_menu,,1,1,0,0

access_ir_model_group_user,ir.model,base.model_ir_model,base.group_user,1,0,0,0
access_ir_model_fields_group_user,ir.model.fields,base.model_ir_model_fields,base.group_user,1,0,0,0

access_ir_model_ks_dashboard_wizard,ks_dashboard_wizard,model_ks_dashboard_wizard,,1,1,1,1
access_ir_model_ks_duplicate_dashboard_wizard,ks_duplicate_dashboard__wizard,model_ks_dashboard_duplicate_wizard,,1,1,1,1
access_ir_model_ks_delete_dashboard_wizard,ks_delete_dashboard__wizard,model_ks_dashboard_delete_wizard,,1,1,1,1
access_lbs_dashboard,lbs.dashboard,model_lbs_dashboard,,1,1,1,1
access_lbs_dashboard_child,lbs.dashboard_child,model_lbs_dashboard_child,,1,1,1,1
access_lbs_dashboard_items_multiplier,lbs.dashboard_items_multiplier,model_lbs_dashboard_items_multiplier,,1,1,1,1
access_lbs_dashboard_item_action,lbs.dashboard_item_action,model_lbs_dashboard_item_action,,1,1,1,1
access_lbs_dashboard_item_goal,lbs.dashboard_item_goal,model_lbs_dashboard_item_goal,,1,1,1,1
,,,,,,,
